@relation TestInstances

@attribute MEAN_MFCC0 numeric
@attribute MEAN_MFCC1 numeric
@attribute MEAN_MFCC2 numeric
@attribute MEAN_MFCC3 numeric
@attribute MEAN_MFCC4 numeric
@attribute MEAN_MFCC5 numeric
@attribute MEAN_MFCC6 numeric
@attribute MEAN_MFCC7 numeric
@attribute MEAN_MFCC8 numeric
@attribute MEAN_MFCC9 numeric
@attribute MEAN_MFCC10 numeric
@attribute MEAN_MFCC11 numeric
@attribute MEAN_MFCC12 numeric
@attribute STD_MFCC0 numeric
@attribute STD_MFCC1 numeric
@attribute STD_MFCC2 numeric
@attribute STD_MFCC3 numeric
@attribute STD_MFCC4 numeric
@attribute STD_MFCC5 numeric
@attribute STD_MFCC6 numeric
@attribute STD_MFCC7 numeric
@attribute STD_MFCC8 numeric
@attribute STD_MFCC9 numeric
@attribute STD_MFCC10 numeric
@attribute STD_MFCC11 numeric
@attribute STD_MFCC12 numeric
@attribute Genres {Classical,Country,Disco,HipHop}

@data
99.166538,-1.006345,-1.979715,-0.555924,3.053791,-4.320703,3.578031,-1.09857,2.914561,-3.355792,4.232092,-3.511104,4.33185,-3.031355,3.239898,-3.190105,3.611247,-3.385547,3.764569,-2.650906,2.35734,-2.624047,2.496824,-2.365954,1.473458,-1.82099,Disco
-29.04268,15.241461,-0.180083,-2.222084,2.496952,-4.728062,1.833184,-5.147058,3.635922,-6.124571,6.330155,-5.616809,5.889083,-6.327996,5.445352,-6.218438,5.46291,-5.686577,4.614301,-4.430279,4.117541,-4.759759,2.985526,-3.485986,2.527991,-2.070344,Classical
59.051162,-0.160814,0.558891,0.02342,1.388853,-0.086243,3.007184,-2.297764,3.358183,-4.33351,4.752355,-5.291238,5.412171,-4.556338,4.83749,-4.414719,4.912566,-4.533484,4.273007,-3.78815,4.201122,-3.985468,2.660294,-2.883369,2.157963,-2.266977,HipHop
-41.220506,16.276266,2.744781,-0.467078,4.661014,-3.955395,3.229262,-4.206767,4.68346,-4.370374,7.169145,-5.847128,5.472107,-6.619458,5.174712,-6.213885,5.619289,-5.309393,4.541338,-4.536151,4.705371,-3.174085,3.618433,-3.495069,1.678918,-3.086314,Classical
87.016166,-3.621974,7.073854,-2.578678,4.466639,-0.502536,1.709902,-1.429425,2.357634,-3.701884,2.007414,-1.454765,2.866064,-2.776693,2.307003,-2.82845,2.360979,-2.838627,2.65653,-2.210132,2.189509,-2.087158,1.482823,-1.436132,1.892477,-0.825202,Disco
81.064751,4.15837,-4.84246,-0.634643,-0.865817,-0.472891,3.666213,-2.705223,3.410567,-4.689523,5.192439,-4.636901,6.026181,-5.102005,5.530718,-5.423283,5.459122,-5.441352,4.479899,-5.229044,4.176297,-4.050633,3.827213,-3.009086,2.771742,-2.448486,HipHop
84.972163,-0.763604,-0.336058,-3.938956,3.929266,-1.379223,2.35262,-2.09021,2.922577,-3.75374,4.456746,-3.066732,3.629042,-3.281396,3.278031,-3.459306,2.768934,-3.394935,2.990857,-3.079828,2.830453,-2.231733,2.306036,-1.835071,1.911856,-1.803056,Disco
96.429931,-0.34941,3.075715,-2.835159,4.787185,-0.457187,0.403403,-3.304323,4.286627,-3.397952,3.161101,-3.051606,3.105738,-3.405835,3.250575,-3.356246,2.48164,-3.087961,2.647119,-2.677057,2.51476,-2.523925,2.019397,-2.021929,1.842368,-1.451583,Country
87.026033,3.850438,-5.813441,5.30312,4.434087,-0.302655,2.495067,-2.520512,5.324113,-3.677489,5.847934,-5.145152,6.155994,-5.586533,5.397793,-6.50809,5.175119,-6.035401,4.56379,-5.263467,4.31989,-3.936694,4.278725,-3.07665,2.854324,-2.531011,HipHop
37.200761,19.471876,4.299045,-2.407168,9.022782,-3.351007,6.367811,-5.175983,4.884858,-5.473826,4.939329,-5.545297,5.277475,-5.489329,4.84789,-5.221239,4.211801,-4.206778,4.182868,-4.181113,4.143848,-3.442679,3.432499,-2.750482,2.264996,-2.018827,Country
-14.681322,25.464158,5.65223,-2.419082,6.795567,-4.302292,4.95709,-5.877318,3.804803,-7.559666,5.408636,-6.429838,7.142827,-5.649842,5.545934,-6.983414,5.140136,-5.001276,5.74,-4.389655,4.338543,-3.78821,4.108362,-2.716356,3.117476,-2.101071,Classical
67.345524,0.833133,4.13015,-0.975298,6.399279,-1.136397,4.074563,-1.181896,3.669804,-2.439869,4.24805,-2.788876,3.969253,-3.550496,2.959306,-3.393098,3.466015,-2.996174,3.739614,-3.041588,2.884912,-2.294421,2.699816,-1.759556,1.799827,-1.770832,Country
77.283974,2.437342,0.964905,3.452802,1.554943,-0.222308,3.232742,-1.529116,2.924798,-3.993659,4.90486,-4.603247,5.718045,-5.180401,5.229535,-5.64226,5.310064,-5.454394,4.593577,-4.832651,3.992256,-3.904972,3.992046,-2.74936,2.948624,-2.144791,HipHop
70.506082,8.632176,-1.035831,-7.008781,4.847487,-2.737126,4.458594,-3.942074,3.405529,-4.532771,4.996902,-3.820657,4.157125,-3.654185,3.634813,-4.238443,3.668913,-3.339035,3.638893,-3.170442,3.165974,-2.743994,2.562764,-2.415343,2.033284,-1.547597,Disco
87.765142,6.107,9.934997,-2.21462,4.481199,-4.203826,2.230684,-1.398987,4.027397,-4.087133,3.126738,-2.879001,2.750651,-3.041023,3.471719,-3.877874,2.832742,-2.834407,2.414978,-3.221181,2.457706,-2.503541,2.184587,-1.593346,1.864324,-1.454684,Disco
81.231565,-6.088299,4.891525,1.033208,5.275611,-2.43051,2.471268,-1.225242,2.813187,-2.368029,2.458929,-2.082669,2.656578,-2.33843,2.755039,-2.748808,2.208824,-2.745644,2.130975,-2.726874,1.768478,-2.137542,1.647696,-1.917201,1.516847,-1.012266,Disco
77.254201,2.503712,-1.789601,0.42171,0.198531,-0.646188,1.106067,-2.659789,2.571069,-4.426082,4.367738,-4.455334,4.821356,-5.377332,4.836489,-5.486971,4.975839,-5.114411,4.5134,-4.609066,4.203691,-3.633248,3.441931,-3.024944,2.553288,-2.287583,HipHop
-4.790839,16.321098,3.292301,2.656804,5.091072,-3.613539,3.875297,-3.918179,4.205747,-5.575732,6.521785,-6.090821,5.781834,-5.679518,5.84062,-5.678953,5.622457,-5.548921,5.079384,-5.109634,4.243132,-3.943239,3.745745,-3.365943,2.577729,-2.268113,Classical
89.637597,5.777773,-1.975063,2.668874,2.497409,-0.411338,2.761142,-1.971909,4.648698,-4.02018,4.305358,-4.898422,5.653053,-5.777323,5.306518,-6.171447,4.613709,-5.844776,4.125401,-5.632142,4.049791,-4.22322,3.704269,-3.057297,2.692841,-2.54708,HipHop
7.338195,18.447126,0.404013,-2.115008,0.918299,-3.788811,5.861714,-3.229053,5.27793,-6.179736,5.753941,-7.559771,4.791631,-6.449482,5.274203,-5.566673,6.699633,-4.229719,5.833836,-5.479664,4.214593,-4.177341,3.716266,-2.833307,2.829614,-2.348547,Classical
12.058669,21.745268,1.808606,-1.942111,5.12282,-3.648865,4.077358,-5.042814,4.055383,-6.133094,6.553927,-6.276904,5.99328,-6.462039,5.808858,-6.519674,5.230952,-5.665962,4.946314,-4.70738,4.531146,-3.474368,4.041853,-3.684451,2.160516,-2.37209,Classical
38.273567,15.373026,3.544553,4.481978,8.925461,-3.652434,5.275058,-6.791329,5.556243,-7.122805,4.08551,-3.946355,4.428504,-5.138775,5.663211,-5.712065,3.841877,-4.407385,4.126405,-4.196053,3.211366,-3.652258,3.619944,-2.626906,2.465562,-1.978203,Country
71.548433,-2.840929,-1.823472,5.073213,0.723177,-0.458823,2.02879,-2.313744,2.211,-4.226647,4.653317,-4.877709,5.419826,-5.133646,4.175727,-6.415114,4.301207,-5.690244,3.493811,-5.308032,3.521263,-4.257419,3.507716,-2.952084,2.826548,-2.402125,HipHop
22.068095,17.878136,-0.952851,0.31389,4.933724,-3.061651,3.662393,-4.611618,4.289125,-5.530813,6.22324,-6.325171,5.827871,-6.085303,5.709115,-6.44565,4.88679,-6.110239,4.68425,-5.24186,4.435117,-3.992094,3.956632,-3.538225,2.628698,-2.505483,Classical
59.108299,11.652283,6.061938,-0.023987,6.173243,-2.401154,4.022172,-4.902623,4.299732,-4.666618,3.965506,-5.148729,4.315039,-4.782164,4.096029,-4.385088,3.453454,-3.366365,4.061422,-3.6045,2.754444,-3.334312,2.719427,-2.46996,1.744351,-1.565912,Country
-42.386433,18.480171,6.721172,0.102669,5.371132,-2.912374,4.054995,-3.832829,5.475697,-4.328205,7.133647,-5.46517,5.710275,-6.083241,5.288898,-5.994716,4.853072,-5.244656,5.411094,-4.181396,3.939971,-3.720177,4.086768,-2.456701,2.513394,-2.29169,Classical
83.855134,5.355821,1.672805,2.057521,3.53279,-1.688541,0.184261,-3.429248,2.625207,-5.464012,4.20493,-5.316412,4.85571,-4.806468,6.2678,-4.922255,5.279833,-4.950419,4.498753,-4.55422,3.997611,-3.957575,3.187148,-3.036024,2.217865,-2.271446,HipHop
81.406994,-0.169047,-0.839171,-1.226318,4.939718,-0.327486,2.897517,-3.034454,4.289084,-2.68689,4.9399,-3.199183,3.380866,-3.328967,3.977923,-3.079105,3.221728,-3.020078,3.060394,-3.076131,2.608498,-2.807468,1.877145,-2.19193,1.596204,-1.60559,Disco
88.95174,1.524449,-3.208748,0.361856,0.418971,-1.558217,0.867355,-3.04056,3.8996,-4.147031,4.480529,-4.113705,4.918422,-6.158819,5.269727,-6.043439,4.98548,-5.071553,5.271158,-3.870778,4.861198,-3.35814,3.751795,-2.939994,2.688939,-2.199996,HipHop
95.331826,0.379303,-0.011468,-2.347413,4.81795,-3.864962,1.129455,-1.413201,3.254321,-4.37409,4.139854,-2.409357,3.681712,-3.809131,3.862507,-3.155412,2.976673,-2.978631,3.034977,-2.946975,2.666502,-2.855838,2.173846,-1.946307,1.831054,-1.563233,Disco
97.612305,-2.020294,3.317364,-1.572722,3.629442,-0.950113,2.525167,-2.990141,2.184131,-3.504399,3.325714,-3.586838,2.504832,-2.749013,3.114712,-3.611253,3.172673,-2.86693,2.727317,-2.73203,2.944276,-2.107453,2.168186,-1.919125,1.886766,-1.761781,Country
62.024292,15.51399,-0.968401,-2.106206,4.497525,-3.113738,2.705456,-4.395885,5.420542,-4.237463,5.946584,-5.408324,6.2895,-5.444385,6.059549,-4.636125,6.67194,-4.354152,5.632069,-4.533991,4.085417,-5.025928,1.964651,-4.273835,1.827701,-3.017322,HipHop
-4.990348,20.779512,2.001115,-1.381957,5.662977,-4.101759,4.012716,-5.071567,3.618807,-7.247624,5.119252,-7.684565,5.078917,-6.532468,5.793046,-6.542414,5.188759,-5.415833,5.245229,-4.140013,4.343903,-4.433672,3.065835,-3.331316,3.213627,-1.682734,Classical
85.547151,5.719513,1.145252,-1.437248,7.836915,-3.115296,2.051718,-3.425762,2.558763,-4.982696,4.521378,-4.347675,3.168792,-3.150583,3.700538,-4.654063,3.529512,-3.178466,3.578649,-3.712929,3.196556,-2.386747,2.404365,-1.953737,2.147298,-1.777642,Country
55.325454,-0.098221,6.287408,3.49215,3.836975,-0.406468,4.20413,-1.77356,4.512774,-3.993581,4.141987,-3.684947,4.730059,-3.276586,4.186512,-3.857597,4.206766,-4.011293,3.984384,-2.517991,3.065325,-2.745928,2.859035,-1.914109,1.925271,-1.445418,Country
65.324381,1.595685,3.75797,-2.839085,5.29122,-3.021419,3.231957,-1.671838,2.280501,-2.823285,3.592406,-2.047537,3.217966,-3.590016,2.571466,-3.418687,2.552658,-3.141622,2.802747,-2.603449,2.655727,-2.150015,1.925696,-2.245437,1.203491,-1.343127,Country
68.34055,-2.352152,-2.131333,3.94286,3.037195,0.280007,2.16748,-1.817118,3.121529,-2.787375,4.166084,-3.820768,5.627636,-4.333464,5.898811,-4.960804,6.074354,-5.222279,4.668328,-5.358162,3.460283,-4.710602,2.684395,-3.634613,2.409447,-2.617355,HipHop
91.255416,1.624271,1.877661,-1.480973,5.416671,-2.427678,1.575609,-3.027146,3.198516,-4.145953,3.817174,-3.258254,3.003425,-3.546386,3.825251,-3.021468,3.709021,-3.005469,3.246228,-3.213209,2.869206,-2.761216,2.201717,-2.177552,1.685415,-1.688098,Disco
68.88431,-2.7821,-6.076949,4.09891,2.799355,-0.278706,2.98769,-2.434452,3.600292,-4.100691,5.788562,-4.429179,6.015432,-5.083634,5.637773,-5.599002,5.2072,-5.49688,3.575683,-6.005101,3.00313,-5.09166,2.830953,-3.201654,2.722072,-2.177085,HipHop
93.555371,-1.952554,4.25835,-0.361561,4.697198,-1.503586,2.555785,-1.47292,2.664093,-2.77562,4.245335,-2.153517,3.255816,-3.14845,2.778232,-2.97252,2.517202,-3.302885,2.351835,-3.200228,1.752396,-2.58784,2.052067,-1.818418,1.639027,-1.425458,Disco
-19.315818,18.774904,6.060007,-0.716097,6.914526,-1.941275,4.305485,-3.51772,4.921022,-4.448926,7.568209,-4.702186,6.260609,-5.957784,4.973082,-6.993132,5.026152,-5.824315,4.299502,-5.212872,4.147456,-3.975651,3.563824,-3.330423,2.382495,-2.364979,Classical
49.921477,12.680499,7.727239,-0.330154,7.104641,-3.53605,4.134645,-3.833468,4.166963,-4.127278,4.259416,-4.436586,4.133334,-4.207944,3.977771,-4.946229,3.429154,-3.558615,3.872738,-3.809381,2.835154,-3.108239,2.713844,-2.354612,2.216453,-1.780768,Country
14.288719,16.998418,0.273629,0.857277,4.657065,-2.679469,3.307895,-4.827389,4.066793,-5.806253,6.002235,-7.173096,4.874425,-6.681531,5.302354,-6.426852,5.403875,-5.169071,6.003247,-4.538989,4.160675,-4.598863,3.477854,-2.900985,3.328351,-2.152962,Classical
