@relation TestInstances

@attribute MFCC0 numeric
@attribute MFCC1 numeric
@attribute MFCC2 numeric
@attribute MFCC3 numeric
@attribute MFCC4 numeric
@attribute MFCC5 numeric
@attribute MFCC6 numeric
@attribute MFCC7 numeric
@attribute MFCC8 numeric
@attribute MFCC9 numeric
@attribute MFCC10 numeric
@attribute MFCC11 numeric
@attribute MFCC12 numeric
@attribute MFCC13 numeric
@attribute MFCC14 numeric
@attribute MFCC15 numeric
@attribute MFCC16 numeric
@attribute MFCC17 numeric
@attribute MFCC18 numeric
@attribute MFCC19 numeric
@attribute MFCC20 numeric
@attribute MFCC21 numeric
@attribute MFCC22 numeric
@attribute MFCC23 numeric
@attribute MFCC24 numeric
@attribute MFCC25 numeric
@attribute MFCC26 numeric
@attribute MFCC27 numeric
@attribute MFCC28 numeric
@attribute MFCC29 numeric
@attribute Genres {Blues,Classical,Country,Disco,HipHop,Jazz}

@data
99.166538,-1.006345,-1.979715,-0.555924,3.053791,-4.320703,3.578031,-1.09857,2.914561,-3.355792,4.232092,-3.511104,4.33185,-3.031355,3.239898,-3.190105,3.611247,-3.385547,3.764569,-2.650906,2.35734,-2.624047,2.496824,-2.365954,1.473458,-1.82099,1.032122,-1.317016,1.010344,0.041934,Disco
-29.04268,15.241461,-0.180083,-2.222084,2.496952,-4.728062,1.833184,-5.147058,3.635922,-6.124571,6.330155,-5.616809,5.889083,-6.327996,5.445352,-6.218438,5.46291,-5.686577,4.614301,-4.430279,4.117541,-4.759759,2.985526,-3.485986,2.527991,-2.070344,2.151851,-1.457205,1.23412,0.071385,Classical
38.106427,10.010705,5.766565,2.931803,6.151703,-0.642122,3.23274,-0.372966,4.283509,-6.39954,4.62393,-4.585513,5.692274,-6.341664,5.515221,-5.841377,6.435233,-4.483254,4.977681,-4.655157,5.085198,-3.777578,3.067115,-3.256781,2.902329,-2.153449,2.027902,-0.857113,1.412604,-0.223637,Blues
59.051162,-0.160814,0.558891,0.02342,1.388853,-0.086243,3.007184,-2.297764,3.358183,-4.33351,4.752355,-5.291238,5.412171,-4.556338,4.83749,-4.414719,4.912566,-4.533484,4.273007,-3.78815,4.201122,-3.985468,2.660294,-2.883369,2.157963,-2.266977,1.450247,-1.226291,0.95634,-0.415834,HipHop
81.064751,4.15837,-4.84246,-0.634643,-0.865817,-0.472891,3.666213,-2.705223,3.410567,-4.689523,5.192439,-4.636901,6.026181,-5.102005,5.530718,-5.423283,5.459122,-5.441352,4.479899,-5.229044,4.176297,-4.050633,3.827213,-3.009086,2.771742,-2.448486,1.982436,-1.442406,1.171784,-0.349406,HipHop
33.756201,17.034441,1.87156,1.675593,6.477619,-3.326269,4.222724,-3.672363,7.316978,-5.208359,5.236078,-6.382913,6.603293,-6.165271,6.7646,-4.70769,6.027365,-4.873378,4.746548,-4.978772,3.959134,-4.681692,2.958914,-3.568981,2.322139,-2.548556,1.826817,-1.496849,0.961762,-0.406264,Jazz
84.972163,-0.763604,-0.336058,-3.938956,3.929266,-1.379223,2.35262,-2.09021,2.922577,-3.75374,4.456746,-3.066732,3.629042,-3.281396,3.278031,-3.459306,2.768934,-3.394935,2.990857,-3.079828,2.830453,-2.231733,2.306036,-1.835071,1.911856,-1.803056,1.033104,-0.707137,0.892877,-0.339742,Disco
46.291859,16.047419,0.374325,0.504468,5.803903,0.905516,4.052067,-5.125692,6.356636,-6.083129,6.848146,-6.147207,5.765133,-5.891098,6.816988,-5.775321,5.767626,-4.599446,5.682178,-4.607735,3.861548,-4.040173,4.532255,-2.724314,3.201321,-2.354886,1.973084,-1.409937,1.031795,-0.62962,Blues
67.345524,0.833133,4.13015,-0.975298,6.399279,-1.136397,4.074563,-1.181896,3.669804,-2.439869,4.24805,-2.788876,3.969253,-3.550496,2.959306,-3.393098,3.466015,-2.996174,3.739614,-3.041588,2.884912,-2.294421,2.699816,-1.759556,1.799827,-1.770832,1.239529,-1.081409,0.531581,-0.364045,Country
42.909271,9.405361,2.169423,0.089806,3.360572,-0.58303,1.835714,-2.715808,2.771602,-4.750974,4.237669,-5.164531,5.132258,-5.477032,5.764536,-5.664695,5.676439,-4.971641,4.276849,-5.135839,4.480574,-4.524241,3.156109,-2.640022,2.765156,-2.343106,1.579154,-1.553415,1.325957,-0.995514,Jazz
87.765142,6.107,9.934997,-2.21462,4.481199,-4.203826,2.230684,-1.398987,4.027397,-4.087133,3.126738,-2.879001,2.750651,-3.041023,3.471719,-3.877874,2.832742,-2.834407,2.414978,-3.221181,2.457706,-2.503541,2.184587,-1.593346,1.864324,-1.454684,0.980681,-0.785426,0.705513,-0.448727,Disco
52.109275,-0.202293,-0.830949,5.358385,0.696762,-0.758295,0.254568,-1.75048,2.318179,-5.437437,4.304247,-5.296435,4.668602,-5.48664,5.201749,-6.129946,4.481587,-5.070659,4.501587,-4.672042,4.394905,-4.310122,2.852983,-2.821939,3.414468,-2.222222,1.467166,-1.198014,1.271297,-0.525053,Jazz
30.793412,10.058155,3.253872,0.876277,4.057714,-1.187078,3.524822,-1.596125,2.911402,-7.18572,4.54823,-4.325314,6.506738,-5.703315,5.714295,-5.533163,6.716104,-4.834865,4.708065,-4.841238,4.315857,-4.278002,3.271297,-2.942543,2.958241,-2.112951,1.950819,-1.107005,1.238586,-0.14078,Blues
-4.790839,16.321098,3.292301,2.656804,5.091072,-3.613539,3.875297,-3.918179,4.205747,-5.575732,6.521785,-6.090821,5.781834,-5.679518,5.84062,-5.678953,5.622457,-5.548921,5.079384,-5.109634,4.243132,-3.943239,3.745745,-3.365943,2.577729,-2.268113,1.93587,-1.851243,1.089963,-0.012633,Classical
7.338195,18.447126,0.404013,-2.115008,0.918299,-3.788811,5.861714,-3.229053,5.27793,-6.179736,5.753941,-7.559771,4.791631,-6.449482,5.274203,-5.566673,6.699633,-4.229719,5.833836,-5.479664,4.214593,-4.177341,3.716266,-2.833307,2.829614,-2.348547,2.388093,-1.272739,0.74092,-0.918142,Classical
38.273567,15.373026,3.544553,4.481978,8.925461,-3.652434,5.275058,-6.791329,5.556243,-7.122805,4.08551,-3.946355,4.428504,-5.138775,5.663211,-5.712065,3.841877,-4.407385,4.126405,-4.196053,3.211366,-3.652258,3.619944,-2.626906,2.465562,-1.978203,1.647557,-1.254937,1.138074,-0.432251,Country
83.855134,5.355821,1.672805,2.057521,3.53279,-1.688541,0.184261,-3.429248,2.625207,-5.464012,4.20493,-5.316412,4.85571,-4.806468,6.2678,-4.922255,5.279833,-4.950419,4.498753,-4.55422,3.997611,-3.957575,3.187148,-3.036024,2.217865,-2.271446,2.035481,-1.01173,1.265826,-0.078596,HipHop
81.406994,-0.169047,-0.839171,-1.226318,4.939718,-0.327486,2.897517,-3.034454,4.289084,-2.68689,4.9399,-3.199183,3.380866,-3.328967,3.977923,-3.079105,3.221728,-3.020078,3.060394,-3.076131,2.608498,-2.807468,1.877145,-2.19193,1.596204,-1.60559,1.372212,-0.80455,0.621298,-0.366654,Disco
